ID,例文,質問内容,解答,,,,,,,,,,,
194,演算子”^”とはビット排他的論理和です。両方１のときに１、それ以外は0にする演算子,演算子”^”とは？,ビット排他的論理和です。両方１のときに１、それ以外は0にする演算子,,,,,,,,,,194,
195,演算子”=”とは代入です。,演算子”=”とは？,代入です。,,,,,,,,,,195,
196,演算子”<<”とは左シフトです。まず左側にあるものを評価し、右側にあるものを次に評価します。左側の結果を整数として、右側の結果の回数分だけ左にビットシフトしたものが演算子全体の結果となります。,演算子”<<”とは？,左シフトです。まず左側にあるものを評価し、右側にあるものを次に評価します。左側の結果を整数として、右側の結果の回数分だけ左にビットシフトしたものが演算子全体の結果となります。,,,,,,,,,,196,
197,演算子>>”とは右シフトです。まず左側にあるものを評価し、右側にあるものを次に評価します。左側の結果を整数として、右側の結果の回数分だけ右に符号付きビットシフトしたものが演算子全体の結果となります。,演算子>>”とは？,右シフトです。まず左側にあるものを評価し、右側にあるものを次に評価します。左側の結果を整数として、右側の結果の回数分だけ右に符号付きビットシフトしたものが演算子全体の結果となります。,,,,,,,,,,197,
198,演算子”++”とはインクリメントです。,演算子”++”とは？,インクリメントです。,,,,,,,,,,198,
199,演算子”--”とはデクリメントです。,演算子”--”とは？,デクリメントです。,,,,,,,,,,199,
200,演算子”>”とは、大きいです。左側にあるものを先に評価し、右側にあるものを次に評価します。右側を評価した結果が左側を評価した結果よりも小さければ真になり、そうでなければ偽になります。,演算子”>”とは？,より大きいです。左側にあるものを先に評価し、右側にあるものを次に評価します。右側を評価した結果が左側を評価した結果よりも小さければ真になり、そうでなければ偽になります。,,,,,,,,,,200,
201,演算子”>=”とは以上です。,演算子”>=”とは？,以上です。,,,,,,,,,,201,
202,演算子”<”とは未満です。,演算子”<”とは？,未満です。,,,,,,,,,,202,
203,演算子”<=”とは以下です。,演算子”<=”とは？,以下です。,,,,,,,,,,203,
204,演算子”==”とは等価です。,演算子”==”とは？,等価です。,,,,,,,,,,204,
205,演算子”!=”とは非等価です。,演算子”!=”とは？,非等価です。,,,,,,,,,,205,
206,演算子”!”とは論理否定です。,演算子”!”とは？,論理否定です。,,,,,,,,,,206,
207,演算子”&&”とは論理積です。,演算子”&&”とは？,論理積です。,,,,,,,,,,207,
208,演算子”||”とは論理和です。,演算子”||”とは？,論理和です。,,,,,,,,,,208,
209,"演算子”,”とは順次です。順次とは提示された命令を提示された順番に実行していく動きです。","演算子”,”とは？",順次です。順次とは提示された命令を提示された順番に実行していく動きです。,,,,,,,,,,209,
210,演算子”()”とは関数の呼び出しまたはキャストです。,演算子”()”とは？,関数の呼び出しまたはキャストです。,,,,,,,,,,210,
211,演算子”[]”とは配列添字です。,演算子”[]”とは？,配列添字です。,,,,,,,,,,211,
212,"演算子”.”とはメンバ参照です。構造体型変数の中にあるメンバを参照（アクセス）するには， 変数名の後に ""."" （ピリオド）に続いてメンバ名を付ける。 たとえば，変数pと構造体にint型のageがあるとすると、p という変数内の age を参照するには， p.age となる。",演算子”.”とは？,"メンバ参照です。構造体型変数の中にあるメンバを参照（アクセス）するには， 変数名の後に ""."" （ピリオド）に続いてメンバ名を付ける。 たとえば，変数pと構造体にint型のageがあるとすると、p という変数内の age を参照するには， p.age となる。",,,,,,,,,,212,
213,演算子”->”とはメンバ間接参照です。構造体を扱うときに，構造体型変数を直接扱うのではなくて，構造体型変数へのポインタを介して，間接的に扱うことがよくある。 そのようなときのために，構造体型を指すポインタ値からそれが指す構造体のメンバを参照するための演算子です。,演算子”->”とは？,メンバ間接参照です。構造体を扱うときに，構造体型変数を直接扱うのではなくて，構造体型変数へのポインタを介して，間接的に扱うことがよくある。 そのようなときのために，構造体型を指すポインタ値からそれが指す構造体のメンバを参照するための演算子です。,,,,,,,,,,213,
214,演算子”? : ”とは条件判定によって、変数に代入する値を変えるときには、if文の代わりにこの条件演算子?:を使います。,演算子”? : ”とは？,条件判定によって、変数に代入する値を変えるときには、if文の代わりにこの条件演算子?:を使います。,,,,,,,,,,214,
215,リダイレクトとは標準出力がつながっている先を、ディスプレイから通常のファイルに繋ぎ替える操作をリダイレクトと言います。リダイレクトを使えば、fopen()やfprint()を使ってファイル出力に対応していないプログラムでも、実行結果を簡単にファイルに保存することができます。リダイレクトが使える環境では、パイプという機構を利用することもできます。,リダイレクトとはなんですか？,標準出力がつながっている先を、ディスプレイから通常のファイルに繋ぎ替える操作をリダイレクトと言います。リダイレクトを使えば、fopen()やfprint()を使ってファイル出力に対応していないプログラムでも、実行結果を簡単にファイルに保存することができます。リダイレクトが使える環境では、パイプという機構を利用することもできます。,,,,,,,,,,215,
216,パイプは、あるプロセス（実行中のプログラム）の標準出力を、別のプロセスの標準入力につなぎ直すことができる機能です。,パイプとはなんですか？,パイプは、あるプロセス（実行中のプログラム）の標準出力を、別のプロセスの標準入力につなぎ直すことができる機能です。,,,,,,,,,,216,
217,パイプはどうやって使うのかというと、ターミナルやコマンドプロンプトで、実行ファイルの名前を'|'（パイプまたはバーティカルバー）でつなぎます。例えば実行ファイル1と実行ファイル2があったとすると、実行ファイル名｜実行ファイル2と書きます、こうすると2つの実行ファイルが並列して同時に実行され、実行ファイル1で標準出力に出力されたデータが、実行ファイル2の標準入力び対して順次流し込まれていきます。,パイプはどうやって使うのですか？,ターミナルやコマンドプロンプトで、実行ファイルの名前を'|'（パイプまたはバーティカルバー）でつなぎます。例えば実行ファイル1と実行ファイル2があったとすると、実行ファイル名｜実行ファイル2と書きます、こうすると2つの実行ファイルが並列して同時に実行され、実行ファイル1で標準出力に出力されたデータが、実行ファイル2の標準入力び対して順次流し込まれていきます。,,,,,,,,,,217,
218,ファイルを書き込むときfprintf()やfputsで行っているのかというと、いいえ。バッファリングという仕組みが用意されていて、ファイルの操作の背後にはそれが実行されています。,ファイルを書き込むときfprintf()やfputsで行っているのですか？,いいえ。バッファリングという仕組みが用意されていて、ファイルの操作の背後にはそれが実行されています。,,,,,,,,,,218,
219,バッファリングとは、バッファという一時保管場所に溜められ、一定量のデータがたまった時点で、まとめて一気にファイルに書き出されるのです。,バッファリングって？,バッファという一時保管場所に溜められ、一定量のデータがたまった時点で、まとめて一気にファイルに書き出されるのです。,,,,,,,,,,219,
220,無限ループをやりたいときは、for文で各場合はfor(;;){実行する処理｝またはwhile(1){実行する処理｝で書きます,無限ループをやりたい,for文で各場合はfor(;;){実行する処理｝またはwhile(1){実行する処理｝で書きます,,,,,,,,,,220,
221,プログラミングの世界での角度をラジアン単位と言います。,プログラミングの世界では角度の単位が特殊なんですか？,角度をラジアン単位と言います。,,,,,,,,,,221,
222,"関数は次のように定義します。戻り値の型（int、doubleなど) 関数名（引数1,引数2){実装コード}",関数の作り方を教えて,"関数は次のように定義します。戻り値の型（int、doubleなど)　関数名（引数1,引数2){実装コード}",,,,,,,,,,222,
223,インクリメントとは、増加、増分などの意味の英単語だが、コンピュータでは数値に1を加える操作のことを指します。,インクリメントって何ですか？,インクリメントとは、増加、増分などの意味の英単語だが、コンピュータでは数値に1を加える操作のことを指します。,,,,,,,,,,223,
224,デクリメントとは、減少、減少量などの意味の英単語だが、コンピュータでは数値から1を減らす操作のことを指します。,デクリメントって何ですか？,デクリメントとは、減少、減少量などの意味の英単語だが、コンピュータでは数値から1を減らす操作のことを指します。,,,,,,,,,,224,
225,アルファベットの大文字を入力した時、小文字に変えたいときは、ASCII文字の同じ大文字小文字は、16進数で0x20、10進数で32離れています。大文字のアルファベットに0x20足せば小文字になります。,アルファベットの大文字を入力した時、小文字に変えたい。,ASCII文字の同じ大文字小文字は、16進数で0x20、10進数で32離れています。大文字のアルファベットに0x20足せば小文字になります。,,,,,,,,,,225,
226,処理する順番はこっちで決めれるのかというと、決めれません。コンパイラは、ソースコードの上から下に向かって処理します。そのため、関数の定義は、関数を使う場所よりも上に書かなければいけません。,処理する順番はこっちで決めれますか？,決めれません。コンパイラは、ソースコードの上から下に向かって処理します。そのため、関数の定義は、関数を使う場所よりも上に書かなければいけません。,,,,,,,,,,226,
227,"プログラミングを始めたいが何から始めたらいいのかというと、環境構築から始めてください。環境構築はプログラミング学習で最大の難関です。 環境構築がうまくいかず、プログラムを書き始める前に諦めてしまうことも少なくありません。
 現在はオンライン実行環境 (Playground)が提供されており、環境構築をせずにC言語を試せるようになりました。 これらはインストールが必要なく、OSに関わらず利用できるため、PCはもちろんスマートフォンやタブレットでもC言語を学べます。 本格的なプログラムを書くには機能不足ですが、C言語の文法や意味を学ぶには十分でしょう。",プログラミングを始めたいが何から始めたらいい？,"環境構築から始めてください。環境構築はプログラミング学習で最大の難関です。 環境構築がうまくいかず、プログラムを書き始める前に諦めてしまうことも少なくありません。
現在はオンライン実行環境 (Playground)が提供されており、環境構築をせずにC言語を試せるようになりました。 これらはインストールが必要なく、OSに関わらず利用できるため、PCはもちろんスマートフォンやタブレットでもC言語を学べます。 本格的なプログラムを書くには機能不足ですが、C言語の文法や意味を学ぶには十分でしょう。",,,,,,,,,,227,
228,オンラインで実行環境を整えたいときは、paiza.IOとWandboxなどがあります。ただし、機能制限があり、scanfなど入力に関する一部の機能がpaiza.IOとWandboxの両方とも使えません。なお、これらのオンライン実行環境を使う際、境界検査インターフェースを使用したプログラムはコンパイル・リンクできないので、標準Cライブラリーの非境界検査インターフェース版の関数に置き換える必要があります,オンラインで実行環境を整えたい。,paiza.IOとWandboxなどがあります。ただし、機能制限があり、scanfなど入力に関する一部の機能がpaiza.IOとWandboxの両方とも使えません。なお、これらのオンライン実行環境を使う際、境界検査インターフェースを使用したプログラムはコンパイル・リンクできないので、標準Cライブラリーの非境界検査インターフェース版の関数に置き換える必要があります,,,,,,,,,,228,
229,"paizaの使い方は、paiza.IOはギノ株式会社が運営するオンライン実行環境で、GUIに日本語を選べるのが特徴です。
 1.「コード作成を試してみる」をクリックすると編集画面に移動します。
 2.左上のプルダウンメニューでプログラミング言語を選べます。ここでは C を選択します。
 3.テキストエリアにプログラムを入力します。
 4.「実行」ボタンをクリック、もしくはCtrlキーとEnterキーを同時に押すとプログラムが実行されます。",paizaの使い方を教えて,"paiza.IOはギノ株式会社が運営するオンライン実行環境で、GUIに日本語を選べるのが特徴です。
1.「コード作成を試してみる」をクリックすると編集画面に移動します。
2.左上のプルダウンメニューでプログラミング言語を選べます。ここでは C を選択します。
3.テキストエリアにプログラムを入力します。
4.「実行」ボタンをクリック、もしくはCtrlキーとEnterキーを同時に押すとプログラムが実行されます。",,,,,,,,,,229,
230,"Wandboxは日本人有志が運営しているオンライン実行環境で、様々なプログラミング言語と言語処理系を選べるのが特徴です。
 
 1．左上のプルダウンメニューでプログラミング言語やコンパイラを選べます。ここでは C を選択します。
 2.テキストエリアにプログラムを入力します。
 3.「Run」ボタンをクリック、もしくはCtrlキーとEnterキーを同時に押すとプログラムが実行されます。",Wandboxの使い方を教えて,"Wandboxは日本人有志が運営しているオンライン実行環境で、様々なプログラミング言語と言語処理系を選べるのが特徴です。

1．左上のプルダウンメニューでプログラミング言語やコンパイラを選べます。ここでは C を選択します。
2.テキストエリアにプログラムを入力します。
3.「Run」ボタンをクリック、もしくはCtrlキーとEnterキーを同時に押すとプログラムが実行されます。",,,,,,,,,,230,
231,ソースファイルとは、Windows付属の「メモ帳」などのテキストエディタを使って、C言語のプログラムを入力し、拡張子「.c」のファイルとして保存したものです。,ソースファイルってなに？,Windows付属の「メモ帳」などのテキストエディタを使って、C言語のプログラムを入力し、拡張子「.c」のファイルとして保存したものです。,,,,,,,,,,231,
232,ソースファイルはそのままではコンピュータでの実行に適しません。そこでよりコンピュータでの実行に適した形式に翻訳する必要があります。この翻訳を行うことをコンパイルと呼び、コンパイルを行うプログラムをコンパイラと呼びます。,コンパイラってなに？,ソースファイルはそのままではコンピュータでの実行に適しません。そこでよりコンピュータでの実行に適した形式に翻訳する必要があります。この翻訳を行うことをコンパイルと呼び、コンパイルを行うプログラムをコンパイラと呼びます。,,,,,,,,,,232,
233,コンパイラとは、オブジェクトファイルとは、コンパイラした際作られる拡張子「.obj」のファイルのことを指します。,オブジェクトファイルってなに？,コンパイラした際作られる拡張子「.obj」のファイルのことを指します。,,,,,,,,,,233,
234,リンカとは、1つのオブジェクトファイルでは実行することはできず、拡張子「.exe」の実行可能ファイルを作るためには、複数のオブジェクトファイルやライブラリを結合する必要があります。この結合を行うことをリンクと呼び、リンクを行うプログラムをリンカと呼ぶ。また、多くのコンパイラはコンパイル時にリンクも自動で一緒に行うことがあります。,リンカってなんですか？,1つのオブジェクトファイルでは実行することはできず、拡張子「.exe」の実行可能ファイルを作るためには、複数のオブジェクトファイルやライブラリを結合する必要があります。この結合を行うことをリンクと呼び、リンクを行うプログラムをリンカと呼ぶ。また、多くのコンパイラはコンパイル時にリンクも自動で一緒に行うことがあります。,,,,,,,,,,234,
235,うまくコンパイラできないときのノウハウとして、コンパイルエラーが発生した場合、エラーメッセージをメモし、ヘルプ機能などを使って調べてみてください。エラーの原因は、エラーが報告された行、あるいはそれ以前の行にあります。エラーが複数報告された場合、最初のエラーから順に解消しましょう。,うまくコンパイラできないときのノウハウを教えて,コンパイルエラーが発生した場合、エラーメッセージをメモし、ヘルプ機能などを使って調べてみてください。エラーの原因は、エラーが報告された行、あるいはそれ以前の行にあります。エラーが複数報告された場合、最初のエラーから順に解消しましょう。,,,,,,,,,,235,
236,main関数とはプログラムの開始処理において、ランタイムライブラリーの初期化処理の後、最初に呼び出されるユーザープログラムのエントリーポイントです[1]。 main() は、引数を省略することはできますが、戻値は int とされ環境に実行状況を返し、0 が成功、0 以外が失敗を表します。,main関数って何ですか？,main関数はプログラムの開始処理において、ランタイムライブラリーの初期化処理の後、最初に呼び出されるユーザープログラムのエントリーポイントです[1]。 main() は、引数を省略することはできますが、戻値は int とされ環境に実行状況を返し、0 が成功、0 以外が失敗を表します。,,,,,,,,,,236,
237,エスケープシーケンス とは、コンピュータシステムにおいて、通常の文字列では表せない特殊な文字や機能を、規定された特別な文字の並びにより表したものです。,エスケープシーケンスってなんですか？,エスケープシーケンス とは、コンピュータシステムにおいて、通常の文字列では表せない特殊な文字や機能を、規定された特別な文字の並びにより表したものです。,,,,,,,,,,237,
238,文字を複数並べて出現する文字は、トライグラフ・シーケンス＝3文字表記と呼ばれるものです。??= で#、??(で [などがあります。,文字を複数並べて出現する文字があるのですか？,トライグラフ・シーケンス＝3文字表記と呼ばれるものです。??= で#、??(で [などがあります。,,,,,,,,,,238,
239,定数( Constraints )とはプログラム実行時に一定の値しかもたない数です。 変数の値がプログラム実行中に変更される場合もあるのに対して、定数の値はプログラム実行中を通して一定です。定数には整数定数、浮動小数点定数、列挙定数、文字定数があります。,定数ってなんですか？,定数( Constraints )とはプログラム実行時に一定の値しかもたない数です。 変数の値がプログラム実行中に変更される場合もあるのに対して、定数の値はプログラム実行中を通して一定です。定数には整数定数、浮動小数点定数、列挙定数、文字定数があります。,,,,,,,,,,239,
240,"整数定数とは、整数を記述するための定数です。10進数表記のほか、2進数表記や8進数表記や16進数表記を使うことができます。
 2進数表記では接頭辞として0bあるいは0Bを付け、8進数表記では接頭辞として0を付け、16進数表記では接頭辞として0xあるいは0Xを付けます。",整数定数ってなんですか？,"整数を記述するための定数です。10進数表記のほか、2進数表記や8進数表記や16進数表記を使うことができます。
2進数表記では接頭辞として0bあるいは0Bを付け、8進数表記では接頭辞として0を付け、16進数表記では接頭辞として0xあるいは0Xを付けます。",,,,,,,,,,240,
241,浮動小数点定数とは、浮動小数点数を記述するための定数です。10進数の小数点数表記のほか、有効数字部と指数部あるいは、16進数浮動小数点で表記できます。,浮動小数点定数ってなんですか？,浮動小数点数を記述するための定数です。10進数の小数点数表記のほか、有効数字部と指数部あるいは、16進数浮動小数点で表記できます。,,,,,,,,,,241,
242,列挙定数とは、ユーザによって宣言された識別子で、 int です。,列挙定数ってなんですか？,列挙定数は、ユーザによって宣言された識別子で、 int です。,,,,,,,,,,242,
243,文字定数とは、文字を記述するための定数です。半角英数記号や制御文字などが記述できます。,文字定数ってなんですか？,文字を記述するための定数です。半角英数記号や制御文字などが記述できます。,,,,,,,,,,243,
244,文字列リテラルとは、人間語で書いたプログラムの元ネタ（ソースコード）の中に直接べた書きした文字列（文字の集まり）のことです。文字列リテラル（ String literals ）には、単純文字列リテラルとワイド文字列リテラルがあります。,文字列リテラルってなんですか？,人間語で書いたプログラムの元ネタ（ソースコード）の中に直接べた書きした文字列（文字の集まり）のことです。文字列リテラル（ String literals ）には、単純文字列リテラルとワイド文字列リテラルがあります。,,,,,,,,,,244,
245,単純文字列リテラル（character string literal）とは1バイト文字または多バイト文字の文字列を記述するための定数のことです。,単純文字列リテラルってなんですか？,単純文字列リテラル（character string literal）とは1バイト文字または多バイト文字の文字列を記述するための定数のことです。,,,,,,,,,,245,
246,ワイド文字列リテラル（wide string literal）とは文字Lという接頭語をもつことを除いて，単純文字列リテラルと同一のことです。C言語では文字列は（NULL文字で終端された）文字の配列として扱われる。,ワイド文字列リテラルってなんですか？,ワイド文字列リテラル（wide string literal）とは文字Lという接頭語をもつことを除いて，単純文字列リテラルと同一のことです。C言語では文字列は（NULL文字で終端された）文字の配列として扱われる。,,,,,,,,,,246,
247,配列全体をコピーしたいときは、for文背別の配列にコピーするか、memcpy関数を用いることで、配列全体をコピーできます。 memcpy関数は、ヘッダファイル <string.h> で宣言されています。,配列全体をコピーしたい,for文背別の配列にコピーするか、memcpy関数を用いることで、配列全体をコピーできます。 memcpy関数は、ヘッダファイル <string.h> で宣言されています。,,,,,,,,,,247,
248,配列に複数の文字列をいれたいときは、文字列は行末にバックスラッシュ文字を置くことで複数行にまたがることもできますが、この方法は非推奨です。文字列処理ルーチンの便利なライブラリがありますので、別のヘッダファイルをインクルードすることで使用できます。,配列に複数の文字列をいれたい,文字列は、行末にバックスラッシュ文字を置くことで複数行にまたがることもできますが、この方法は非推奨です。文字列処理ルーチンの便利なライブラリがありますので、別のヘッダファイルをインクルードすることで使用できます。,,,,,,,,,,248,
249,\bとは、バックスペース(Backspace)のことです。現在の行で前に移動する。先頭にある場合は不定。,\bってどういう意味？,バックスペース(Backspace)のことです。現在の行で前に移動する。先頭にある場合は不定。,,,,,,,,,,249,
250,\rとは、キャリッジリターン(carriage Return)現在の行の先頭位置に移動,\rってどういう意味？,        キャリッジリターン(carriage Return)現在の行の先頭位置に移動,,,,,,,,,,250,
251,\fとは、ページフィード(Form Feed)です。次の論理ページの最初に移動します。,\fってどういう意味？,ページフィード(Form Feed)です。次の論理ページの最初に移動します。,,,,,,,,,,251,
252,\'とは、シングルクォーテーション「’」(single quotation mark)を表示させます。,\'ってどういう意味？,シングルクォーテーション「’」(single quotation mark)を表示させます。,,,,,,,,,,252,
253,"\""とは、ダブルクォーテーション「”」(double quotation mark)「”」を表示させます。","\""ってどういう意味？",ダブルクォーテーション「”」(double quotation mark)「”」を表示させます。,,,,,,,,,,253,
254,\0とは、ヌル文字(null)です。空文字（実際は8進数表記の1ケース）を意味します。,\0ってどういう意味？, ヌル文字(null)です。空文字（実際は8進数表記の1ケース）を意味します。,,,,,,,,,,254,
255,\\とは、円記号(\)を表示させます。,\\ってどういう意味？,円記号(\)を表示させます。,,,,,,,,,,255,
256,\？とは、クエスチョンマークを表示させます。,\?とはなんですか？,クエスチョンマークを表示させます。,,,,,,,,,,256,
257,\aとは、ベル音(Alert)です。ベル音を鳴らします。印字位置は不変です。,\aとはなんですか？,ベル音(Alert)です。ベル音を鳴らします。印字位置は不変です。,,,,,,,,,,257,
258,\xhhとは、16進拡張(heXadecimal)のことです。16進でhhのコードを持つ文字になります。,\xhhとはなんですか？,16進拡張(heXadecimal)のことです。16進でhhのコードを持つ文字になります。,,,,,,,,,,258,
259,\oooとは、8進拡張(octal)です。8進でoooのコードを持つ文字,\oooとはなんですか？,8進拡張(octal)です。8進でoooのコードを持つ文字,,,,,,,,,,259,
260,ceil()とは、「その数以上の最小の整数に丸める」関数です。,ceil()はどんな関数ですか？,「その数以上の最小の整数に丸める」関数です。,,,,,,,,,,260,
261,"strtok()関数を使うことで、コンマ(,)やスラッシュ(/)などの文字を「区切り文字」として、文字列を複数の文字列に分割strtok()関数を使うことで、することができます。","strtok()関数を使うことで、何ができますか？
","コンマ(,)やスラッシュ(/)などの文字を「区切り文字」として、文字列を複数の文字列に分割strtok()関数を使うことで、することができます。
",,,,,,,,,,261,
262,どの整数型を使えばよいか、どうやって決めればよいかというと、大きな値(32767より大きな値か、-32767より小さい値)が必要なら longを使う。もしメモリの効率を気にするなら(例:大きな配列がある とか構造体がたくさんあるなど)shortを使う。どうでもいいならint を使う。オーバーフローの時の性質の明確なことが大事で負の値が不 要なら、対応する符号なしの整数を使え(ただし符号付と符号なしの 整数の混在には注意すること)。,どの整数型を使えばよいか、どうやって決めればよいか。,大きな値(32767より大きな値か、-32767より小さい値)が必要なら longを使う。もしメモリの効率を気にするなら(例:大きな配列がある とか構造体がたくさんあるなど)shortを使う。どうでもいいならint を使う。オーバーフローの時の性質の明確なことが大事で負の値が不 要なら、対応する符号なしの整数を使え(ただし符号付と符号なしの 整数の混在には注意すること)。,,,,,,,,,,262,
263,"外部変数を宣言、定義する一番よい方法は、まず一つのグローバル(厳密にいえば外部(external))変数や関数に、 たくさんの""宣言""が(たくさんの変換単位に)存在してもいいが、""定 義""はただ一つしか存在してはならない。(定義とは実際に場所を確保 する宣言で、初期値があるときは初期値を与える。) 一番よい取り決 めは、各定義を関連する.cファイルに置き、外部宣言をヘッダーファ イル("".h"")に置くことである。そしてヘッダーファイルを宣言が必要 になったら必ず#includeする。定義をふくんだ.cファイルも同じヘッ ダーファイルを#includeして、コンパイラーが定義と宣言を照らし合 わせることができるようにする。",外部変数を宣言、定義する一番よい方法は。,"まず、一つのグローバル(厳密にいえば外部(external))変数や関数に、 たくさんの""宣言""が(たくさんの変換単位に)存在してもいいが、""定 義""はただ一つしか存在してはならない。(定義とは実際に場所を確保 する宣言で、初期値があるときは初期値を与える。) 一番よい取り決 めは、各定義を関連する.cファイルに置き、外部宣言をヘッダーファ イル("".h"")に置くことである。そしてヘッダーファイルを宣言が必要 になったら必ず#includeする。定義をふくんだ.cファイルも同じヘッ ダーファイルを#includeして、コンパイラーが定義と宣言を照らし合 わせることができるようにする。
",,,,,,,,,,263,
264,"関数宣言についたexternは、こういう書き方をすることで、関数の定義がたぶん別のソースファイ ルにあるということを、ほのめかすことができる。しかし以下の2つ に違いはない。
 extern int f();
 
 int f();",関数宣言についたexternは何を意味するのか。,"こういう書き方をすることで、関数の定義がたぶん別のソースファイ ルにあるということを、ほのめかすことができる。しかし以下の2つ に違いはない。
extern int f();

int f();",,,,,,,,,,264,
265,charへのポインターを返す関数へのポインターを返す関数へのポインターN個からなる配列をどうやって宣言すればよいかというと、char *(*(*a[N])())();と記述するか宣言をtypedefを使って段階的に作り出す方法があります。,charへのポインターを返す関数へのポインターを返す関数へのポインターN個からなる配列をどうやって宣言すればよいか。,char *(*(*a[N])())();と記述するか宣言をtypedefを使って段階的に作り出す方法があります。,,,,,,,,,,265,
266,同じ型を持つ関数へのポインターを返すことのできる関数をどうやっ て宣言すればよいかというと、直接に定義することはできない。汎用の関数ポインターを返す関数を 用意して、ポインターを渡すたびに関数の型にあわせて慎重にキャス トを行う。または関数が構造体を返すようにする。その構造体は、そ の関数へのポインターだけをメンバーに持つようにする。,"同じ型を持つ関数へのポインターを返すことのできる関数をどうやっ て宣言すればよいか。今、状態マシンを作っている。この状態マシン の状態ごとに関数を用意する。そして各関数が次の状態の関数へのポ インターを返す。けれど、こういう関数を宣言する方法が見つからない。
",直接に定義することはできない。汎用の関数ポインターを返す関数を 用意して、ポインターを渡すたびに関数の型にあわせて慎重にキャス トを行う。または関数が構造体を返すようにする。その構造体は、そ の関数へのポインターだけをメンバーに持つようにする。,,,,,,,,,,266,
267,私が使っているコンパイラは関数の無効な再宣言だと文句をつけるときは、関数を呼び出すところの有効範囲内に関数の宣言がないときは(おそ らく最初の関数呼び出しが関数の定義より前にあるからだろう)その 関数はintを返す(かつ引数のデータ型の情報なし)と宣言されている と考える。そのため、後で関数がint以外を返すと宣言されると不一 致が生じる。intを返さない関数は、呼び出す前に宣言しなければな らない。,"私が使っているコンパイラは関数の無効な再宣言だと文句をつける。 一度定義して、一回呼んでるだけなのに。
","関数を呼び出すところの有効範囲内に関数の宣言がないときは(おそ らく最初の関数呼び出しが関数の定義より前にあるからだろう)その 関数はintを返す(かつ引数のデータ型の情報なし)と宣言されている と考える。そのため、後で関数がint以外を返すと宣言されると不一 致が生じる。intを返さない関数は、呼び出す前に宣言しなければな らない。
",,,,,,,,,,267,
268,"明示的には初期化されていない変数の初期値について、どこまで安心 して仮定することができるか。グローバル変数の初期値が""0""で初期 化されるのなら、ヌルポインターや浮動小数についても0であること が保証されるのかといと、「静的な」寿命を持つ変数(すなわち、関数の外で宣言した変数や記 憶域クラスをstaticと宣言した変数)は、プログラマーが「=0」と打 ち込んだかのように、0に(プログラムの立ち上がり時に一度だけ)初 期化されることが保証されている。すなわちポインターは(正しい型 の:5章参照)ヌルポインターに、浮動小数は0.0に初期化される。
 「自動の(automatic)」寿命を持つ変数(すなわち、記憶域クラスを staticと宣言していないローカル変数)の中身は、明示的に初期化し ない限り、ゴミである(ゴミが役に立つかどうかは、予測できない)。
 malloc()やrealloc()を使って動的に確保した領域も、中身はゴミで あると考えたほうがいい。だから呼び出した側のプログラムで適切に 初期化しなければならない。calloc()によって確保した領域はすべて のビットが0である。しかし、この初期化も、ポインター変数や浮動 小数点表示の変数に対しては必ずしも役にたたない。","明示的には初期化されていない変数の初期値について、どこまで安心 して仮定することができるか。グローバル変数の初期値が""0""で初期 化されるのなら、ヌルポインターや浮動小数についても0であること が保証されるのか。","「静的な」寿命を持つ変数(すなわち、関数の外で宣言した変数や記 憶域クラスをstaticと宣言した変数)は、プログラマーが「=0」と打 ち込んだかのように、0に(プログラムの立ち上がり時に一度だけ)初 期化されることが保証されている。すなわちポインターは(正しい型 の:5章参照)ヌルポインターに、浮動小数は0.0に初期化される。
「自動の(automatic)」寿命を持つ変数(すなわち、記憶域クラスを staticと宣言していないローカル変数)の中身は、明示的に初期化し ない限り、ゴミである(ゴミが役に立つかどうかは、予測できない)。
malloc()やrealloc()を使って動的に確保した領域も、中身はゴミで あると考えたほうがいい。だから呼び出した側のプログラムで適切に 初期化しなければならない。calloc()によって確保した領域はすべて のビットが0である。しかし、この初期化も、ポインター変数や浮動 小数点表示の変数に対しては必ずしも役にたたない。",,,,,,,,,,268,
269,"f()
{
char a[] = ""Hello, world!"";
}
という本からそのまま写したコードなのに、コンパイルできないときは、使っているコンパイラはANSI規格ができる前のもので 「autoの集成体型(automatic aggregates)」(例:staticでないローカ ルな配列や構造体や共用体)の初期化を許してない。回避策としては、 配列をstatic(もし、その後の呼び出しで真っ新なコピーが必要でな いなら)かグローバルにする、またはポインターで代用する(もし行列 に書き込むことがないのなら)。(文字列リテラルを指すローカルの char *変数を初期化することはいつでも可能である。","f()
{
char a[] = ""Hello, world!"";
}
という本からそのまま写したコードなのに、コンパイルできない。",使っているコンパイラはANSI規格ができる前のもので 「autoの集成体型(automatic aggregates)」(例:staticでないローカ ルな配列や構造体や共用体)の初期化を許してない。回避策としては、 配列をstatic(もし、その後の呼び出しで真っ新なコピーが必要でな いなら)かグローバルにする、またはポインターで代用する(もし行列 に書き込むことがないのなら)。(文字列リテラルを指すローカルの char *変数を初期化することはいつでも可能である。,,,,,,,,,,269,
